Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,4.0,24.9,70.0,27.0
4,4.0,24.9,70.0,27.0
4,4.0,24.9,70.0,27.0
4,4.0,25.4,66.0,27.0
4,4.0,25.4,66.0,27.0
4,6.0,30.7,55.0,27.0
4,6.0,30.7,55.0,27.0
4,6.0,30.7,55.0,27.0
4,6.0,30.7,55.0,27.0
4,4.0,25.3,54.0,27.0
4,4.0,25.3,54.0,27.0
4,4.0,25.3,54.0,27.0
4,4.0,25.3,54.0,27.0
4,4.0,25.3,54.0,27.0
4,4.0,25.3,54.0,27.0
4,4.0,25.3,54.0,27.0
4,4.0,25.1,53.0,27.0
4,6.0,30.3,61.0,27.0
2,5.0,28.0,61.0,25.7
2,5.0,28.0,61.0,25.7
2,5.0,28.0,61.0,25.7
2,4.0,25.5,59.0,25.7
2,4.0,24.9,59.0,25.7
2,4.0,24.9,59.0,25.7
2,4.0,24.9,59.0,25.7
2,4.0,25.6,61.0,25.7
2,4.0,25.6,61.0,25.7
2,4.0,25.6,61.0,25.7
2,4.0,25.6,61.0,25.7
2,4.0,24.9,68.0,25.7
2,4.0,24.9,68.0,25.7
2,4.0,24.9,68.0,25.7
2,4.0,25.2,63.0,25.7
2,4.0,25.1,54.0,25.7
2,4.0,25.1,54.0,25.7
2,4.0,25.1,54.0,25.7
2,5.0,27.5,64.0,25.7
2,5.0,27.5,64.0,25.7
2,5.0,27.5,64.0,25.7
2,5.0,27.5,64.0,25.7
2,5.0,27.5,64.0,25.7
2,5.0,27.5,64.0,25.7
2,5.0,27.5,64.0,25.7
2,5.0,27.5,64.0,25.7
2,4.0,24.6,64.0,25.7
2,4.0,24.6,64.0,25.7
2,4.0,24.6,64.0,25.7
2,4.0,25.2,64.0,25.7
2,4.0,25.2,64.0,25.7
2,5.0,28.1,57.0,25.7
2,5.0,28.1,57.0,25.7
2,5.0,28.1,57.0,25.7
2,5.0,28.1,57.0,25.7
2,5.0,28.1,57.0,25.7
1,5.0,28.0,42.0,21.6
1,5.0,28.0,42.0,21.6
1,5.0,28.0,42.0,21.6
1,5.0,28.0,42.0,21.6
1,5.0,28.0,42.0,21.6
1,5.0,28.0,42.0,21.6
1,7.0,31.7,40.0,21.6
1,7.0,31.7,40.0,21.6
1,7.0,31.7,40.0,21.6
1,7.0,31.7,40.0,21.6
1,5.0,27.4,42.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.3,53.0,21.6
1,4.0,24.9,54.0,21.6
1,4.0,24.9,54.0,21.6
1,4.0,24.9,54.0,21.6
1,4.0,24.9,54.0,21.6
1,4.0,25.3,52.0,21.6
1,4.0,24.9,54.0,21.6
1,4.0,25.1,53.0,21.6
1,4.0,25.1,53.0,21.6
1,4.0,25.1,53.0,21.6
1,4.0,25.1,53.0,21.6
1,4.0,25.1,53.0,21.6
1,4.0,25.1,53.0,21.6
1,4.0,25.0,54.0,21.6
1,4.0,25.6,53.0,21.6
1,4.0,25.6,53.0,21.6
1,4.0,25.6,53.0,21.6
