Season,Thermal preference,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,-1,5.0,29.4,69.7,25.7
4,0,5.0,30.4,63.7,33.3
4,-1,5.0,30.4,69.9,34.3
4,-1,4.0,28.9,44.2,34.2
4,-1,5.0,27.3,43.4,34.2
4,0,5.0,26.8,64.0,34.2
4,-1,5.0,31.2,54.7,33.2
4,0,5.0,31.4,55.3,33.3
4,-1,5.0,31.2,55.6,33.3
4,0,5.0,30.8,81.0,27.2
4,-1,4.0,28.4,52.8,27.2
4,-1,4.0,28.3,52.5,27.2
4,-1,5.0,24.5,56.0,27.2
4,1,5.0,28.2,55.0,27.1
4,0,5.0,28.7,50.0,27.3
4,-1,5.0,28.4,53.9,27.1
4,0,5.0,28.7,53.9,27.2
4,1,5.0,28.6,57.0,27.5
4,-1,5.0,29.6,71.9,30.9
4,-1,5.0,28.6,60.4,30.9
4,0,5.0,29.6,77.3,30.7
4,0,5.0,26.9,44.3,30.9
4,-1,5.0,29.3,86.6,31.0
4,-1,5.0,30.0,78.1,31.0
4,0,5.0,30.5,61.7,30.2
4,-1,5.0,30.4,62.1,30.1
4,0,5.0,30.7,62.9,30.1
4,0,5.0,30.5,63.1,30.3
4,-1,5.0,30.8,60.2,31.6
4,-1,5.0,31.2,59.7,31.5
4,-1,5.0,30.8,57.8,31.5
4,-1,5.0,31.7,52.9,30.9
4,0,5.0,31.7,56.1,30.6
4,-1,5.0,31.2,66.0,32.9
4,-1,4.0,26.9,40.1,31.4
4,1,4.0,26.0,42.8,31.4
4,-1,5.0,24.7,45.7,31.4
4,0,5.0,25.9,47.7,31.4
4,1,4.0,27.6,38.5,31.6
4,-1,5.0,27.0,41.1,31.4
4,0,5.0,26.8,42.5,31.4
4,-1,4.0,25.9,42.5,31.3
4,1,4.0,26.2,42.0,31.4
4,0,4.0,25.5,43.0,31.3
4,-1,5.0,25.7,42.3,31.5
4,1,5.0,26.1,42.5,31.5
4,1,4.0,25.9,42.5,31.5
4,-1,4.0,26.8,41.3,31.4
4,0,5.0,26.8,41.6,31.4
4,1,5.0,26.8,47.2,31.4
4,0,5.0,23.0,48.0,31.4
4,0,5.0,25.5,50.0,31.5
4,-1,5.0,26.0,50.4,31.4
4,1,5.0,22.8,45.5,31.4
4,0,5.0,25.5,45.5,31.3
4,1,5.0,25.7,45.3,31.3
4,-1,4.0,25.6,47.0,31.2
4,-1,4.0,25.3,45.9,31.4
4,-1,4.0,24.8,45.7,31.1
4,0,4.0,25.5,43.3,31.1
4,0,4.0,26.1,43.6,31.1
4,1,4.0,25.6,45.2,31.3
4,-1,5.0,24.5,46.6,31.1
4,-1,5.0,26.1,47.4,30.9
4,0,4.0,27.1,46.3,30.7
4,0,5.0,27.9,40.9,29.7
4,-1,4.0,26.7,40.7,29.7
4,1,5.0,27.2,40.3,29.7
4,-1,5.0,32.4,63.3,30.9
4,0,5.0,29.2,83.5,30.8
4,0,5.0,29.1,83.5,30.9
4,0,5.0,28.7,78.6,30.9
4,-1,4.0,28.7,82.2,30.8
4,-1,5.0,28.5,86.4,30.9
4,0,5.0,27.9,90.1,30.9
4,-1,4.0,26.9,88.3,30.0
4,0,5.0,27.8,88.4,30.0
4,-1,4.0,28.1,87.4,30.0
4,-1,4.0,28.0,87.6,30.0
4,-1,4.0,28.4,82.7,30.0
4,-1,4.0,28.4,83.4,30.0
4,-1,4.0,28.4,83.4,30.0
4,-1,4.0,28.4,83.1,29.9
4,-1,5.0,28.9,78.0,31.4
4,-1,4.0,28.6,76.0,31.8
4,-1,5.0,29.0,79.0,31.2
4,-1,5.0,28.8,77.8,31.0
4,0,5.0,29.3,76.9,31.5
4,-1,6.0,29.4,77.6,31.3
4,0,5.0,28.8,77.6,30.9
4,0,5.0,29.0,77.6,30.9
